[15:07:59]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_normal.png"
[15:08:00]	SUCCESS | Opened file "Assets/scifi_01.mtl"
[15:08:00]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | + Loading Game Object "SCIFI_Plate_1"
[15:08:00]	INFO    | +	 Adding transform data to new gameObject
[15:08:00]	INFO    | +	 Adding Model to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | + Loading Game Object "SCIFI_Plate_2"
[15:08:00]	INFO    | +	 Adding transform data to new gameObject
[15:08:00]	INFO    | +	 Adding Model to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | + Loading Game Object "SCIFI_Plate_4"
[15:08:00]	INFO    | +	 Adding transform data to new gameObject
[15:08:00]	INFO    | +	 Adding Model to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | + Loading Game Object "SCIFI_Plate_5"
[15:08:00]	INFO    | +	 Adding transform data to new gameObject
[15:08:00]	INFO    | +	 Adding Model to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | + Loading Game Object "SCIFI_Plate_6"
[15:08:00]	INFO    | +	 Adding transform data to new gameObject
[15:08:00]	INFO    | +	 Adding Model to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | + Loading Game Object "SCIFI_Fabric_0"
[15:08:00]	INFO    | +	 Adding transform data to new gameObject
[15:08:00]	INFO    | +	 Adding Model to new gameObject
[15:08:00]	INFO    | +		 Loading new OBJ file
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	SUCCESS | Opened file "Assets/scifi_02.obj"
[15:08:00]	SUCCESS | Opened file "Assets/scifi_02.mtl"
[15:08:00]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Fabric_1K_albedo.png"
[15:08:00]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Fabric_1K_normal.png"
[15:08:00]	SUCCESS | Opened file "Assets/scifi_02.mtl"
[15:08:00]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:00]	        |
[15:08:00]	        |------------------------------------------------------------------------
[15:08:00]	        |
[15:08:00]	INFO    | + Loading Game Object "SCIFI_Fabric_1"
[15:08:00]	INFO    | +	 Adding transform data to new gameObject
